Project Nick,Project,BioSample_s,SRA_Sample_s,Run_s,LibrarySource_s,LibraryLayout_s,InsertSize_l,MBases_l,Sample_Name_s,Library_Name_s,cultivar_s,ReadGroup,,Leafly Name,Leafly URL,TEMP Sortable
University of Colorado Boulder,SRP074775,SAMN04480276,SRS1431936,SRR3495282,GENOMIC,SINGLE,0,110,MMJA_47,Purple_Urkle: MMJA_47,    ,1,,Purple Urkle,https://www.leafly.com/indica/purple-urkle,Purple Urkle
University of Colorado Boulder,SRP074775,SAMN04480274,SRS1431935,SRR3495281,GENOMIC,SINGLE,0,104,MMJA_40,Boss_Hogg_F4: MMJA_40,                                                                                                                                                                                             ,1,,Boss Hogg,https://www.leafly.com/hybrid/boss-hogg,Boss Hogg
Yunnan,SRP066670,SAMN04296299,SRS1180044,SRR2961016,TRANSCRIPTOMIC,PAIRED,90,25602,industrial hemp RNA-Seq,<not provided>,'Yunma 5' and 'Bamahuoma',1,,Hemp,-,Hemp
Phylos 2016,SRP092005,SAMN05937654,SRS1758007,SRR4448267,GENOMIC,PAIRED,0,129,10ce2023b777-TSCA_#2_Pheno_KFx2,10ce2023b777-TSCA,#2_Pheno_KFx2,1,,-,-,-
Phylos 2016,SRP092005,SAMN05937802,SRS1758088,SRR4448349,GENOMIC,PAIRED,0,203,433f4e1088f1-TSCA_#23,433f4e1088f1-TSCA,#23,1,,Landrace,-,Landrace
Phylos 2016,SRP092005,SAMN05937879,SRS1758125,SRR4448385,GENOMIC,PAIRED,0,276,6ce3810be193-TSCA_#3_Pheno,6ce3810be193-TSCA,#3_Pheno,1,,-,-,-
Phylos 2016,SRP092005,SAMN05937929,SRS1758194,SRR4448454,GENOMIC,PAIRED,0,281,7c786e602cc3-TSCA_#3_Pheno,7c786e602cc3-TSCA,#3_Pheno,1,,-,-,-
Phylos 2016,SRP092005,SAMN05937705,SRS1757988,SRR4448249,GENOMIC,PAIRED,0,223,20b04cc39caa-TSCA_#5_Pheno,20b04cc39caa-TSCA,#5_Pheno,1,,-,-,-
Phylos 2016,SRP092005,SAMN05937609,SRS1760342,SRR4451179,GENOMIC,PAIRED,0,266,ba6df0f205f4-TSCA_#5_Pheno_Afghan_Dom,ba6df0f205f4-TSCA,#5_Pheno_Afghan_Dom,1,,-,-,-
Phylos 2016,SRP092005,SAMN05937519,SRS1760264,SRR4451101,GENOMIC,PAIRED,0,132,03d3c8a228a3-TSCA_#6_Pheno,03d3c8a228a3-TSCA,#6_Pheno,1,,-,-,-
Phylos 2016,SRP092005,SAMN05937930,SRS1758192,SRR4448453,GENOMIC,PAIRED,0,163,7d2aefc8a40e-TSCA_3rd_Dimension,7d2aefc8a40e-TSCA,3rd_Dimension,1,,The Third Dimension,https://www.leafly.com/hybrid/the-third-dimension,The Third Dimension
Phylos 2016,SRP092005,SAMN05937752,SRS1757973,SRR4448234,GENOMIC,PAIRED,0,100,31725c462f61-TSCA_3x_Crazy,31725c462f61-TSCA,3x_Crazy,1,,3X Crazy,https://www.leafly.com/indica/3x-crazy,3X Crazy
Phylos 2016,SRP092005,SAMN05937928,SRS1758190,SRR4448451,GENOMIC,PAIRED,0,175,7c5d0b23ea27-TSCA_4_Corners_x_Harliquinn,7c5d0b23ea27-TSCA,4_Corners_x_Harliquinn,1,,-,-,-
Phylos 2016,SRP092005,SAMN05937571,SRS1760268,SRR4451105,GENOMIC,PAIRED,0,149,aa5b40f6375f-TSCA_613_x_JH,aa5b40f6375f-TSCA,613_x_JH,1,,-,-,-
Phylos 2016,SRP092005,SAMN05937949,SRS1758181,SRR4448442,GENOMIC,PAIRED,0,283,86ca9fde77e4-TSCA_619_OG,86ca9fde77e4-TSCA,619_OG,1,,,,619_OG
Courtagen,SRP064442,SAMN04155896,SRS1107944,SRR2584118,GENOMIC,PAIRED,0,330,8MileHigh-RAD,8MileHigh_RAD,8MileHigh,1,,,,8 Mile High
Courtagen,SRP064442,SAMN04155896,SRS1107944,SRR2584142,GENOMIC,PAIRED,0,330,8MileHigh-RAD,8MileHigh_RAD,8MileHigh,2,,,,8 Mile High
